Scene,Estimated PAH cost,Estimated SAH cost,Real cost with fallback,Intersections with fallback,Real cost without fallback,Intersections without fallback,Only fallback cost,Hit percentage,Overlapping % 4,Overlapping % culled 4,Overlapping % culled 7,Overlapping % culled 10,Overlapping % culled 15,Overlapping % culled 100,Max level,Max triangles per leaf,Max non fallback levels,Split plane quality threshold,Acceptable children/father hit probability,Excellent children/father hit probability,Compute cost PAH average,Compute cost SAH average,Compute cost PAH average count,Compute cost SAH average count,Choose split plane PAH average,Choose split plane SAH average,Choose split plane PAH average count,Choose split plane SAH average count
SuzannePlaneOblique_Full,22.250720977783203,41.37303924560547,26.412006378173828,16.525999069213867,21.966405868530273,14.04699993133545,5.796088218688965,0.2329999953508377,0.5155844688415527,0.515584409236908,0.5714027881622314,0.6320769786834717,0.6388537287712097,0.6388537287712097,15,2,100,0.4000000059604645,1.2999999523162842,0.8999999761581421,114.78408813476563,6.187691688537598,64.30912780761719,88.4823989868164,0.31330084800720215,0.3123007118701935,1.3205394744873047,1.1759834289550781
Random1000_Point_Oblique_Full,120.08268737792969,76.7147216796875,149.4766845703125,88.33200073242188,124.75382995605469,73.3740005493164,74.27763366699219,0.6470000147819519,0.6618036031723022,0.7297893762588501,0.6862509250640869,0.6580387353897095,0.6561896800994873,0.6561896800994873,13,2,100,0.4000000059604645,1.2999999523162842,0.8999999761581421,84.6572036743164,6.1787943840026855,47.6164665222168,85.61561584472656,0.27850157022476196,0.27450162172317505,1.11044180393219,1.0020020008087158
CottageWalls_Plane_Oblique_Full,177.82260131835938,78.49854278564453,178.8944854736328,111.70800018310547,178.8944854736328,111.70800018310547,178.8944854736328,1.0,0.7212332487106323,0.9001220464706421,0.8062410950660706,0.776056706905365,0.7679780125617981,0.7692393064498901,32,2,100,0.4000000059604645,1.2999999523162842,0.8999999761581421,150.83982849121094,27.96255111694336,42.24483108520508,69.23839569091797,1.5413891077041626,2.3698840141296387,1.7912241220474243,1.638682246208191
Wood__Plane_Parallel_Full,94.22982788085938,101.76104736328125,118.19599151611328,78.6510009765625,93.63008880615234,63.15800094604492,79.50164031982422,0.7369999885559082,0.5416289567947388,0.5667864680290222,0.6182259917259216,0.7270417213439941,0.7955999970436096,0.8249614834785461,25,2,100,0.4000000059604645,1.2999999523162842,0.8999999761581421,408.6723327636719,40.444583892822266,52.63999938964844,66.06138610839844,1.9938023090362549,3.013633966445923,1.513076901435852,1.545454502105713
CottageWalls_Point_45_Full,168.65248107910156,106.24684143066406,169.31607055664063,104.00499725341797,169.31607055664063,104.00499725341797,169.31607055664063,1.0,0.6506941914558411,0.8343343138694763,0.7477807402610779,0.7346553206443787,0.7464275360107422,0.7471395134925842,23,2,100,0.4000000059604645,1.2999999523162842,0.8999999761581421,322.7959289550781,28.165250778198242,53.8282585144043,69.23839569091797,1.886391282081604,2.407785654067993,1.6351039409637451,1.638682246208191
SuzannePlaneParallel_Full,35.27059555053711,51.60554885864258,40.866424560546875,27.617000579833984,36.18963623046875,24.979000091552734,15.961775779724121,0.7070000171661377,0.2227073460817337,0.2601468861103058,0.5230269432067871,0.6079419851303101,0.6148494482040405,0.6148494482040405,14,2,100,0.4000000059604645,1.2999999523162842,0.8999999761581421,70.42532348632813,6.194096088409424,63.171836853027344,88.4823989868164,0.20310120284557343,0.3148004710674286,1.3412888050079346,1.1759834289550781
Random1000_Plane_45_Full,96.56455993652344,93.6039047241211,122.73637390136719,72.81400299072266,96.88128662109375,57.93899917602539,69.13148498535156,0.6259999871253967,0.5046212673187256,0.5661768317222595,0.6465221047401428,0.6204443573951721,0.6181116104125977,0.6181116104125977,14,2,100,0.4000000059604645,1.2999999523162842,0.8999999761581421,33.59257507324219,6.18449068069458,28.505516052246094,85.61561584472656,0.25750163197517395,0.27080172300338745,1.2397191524505615,1.0020020008087158
Wood_Plane_15_Full,111.79843139648438,110.41588592529297,126.02144622802734,81.52100372314453,111.0578842163086,72.63099670410156,42.38978576660156,0.6470000147819519,0.7109389305114746,0.7596970200538635,0.7717597484588623,0.8073881268501282,0.8311001062393188,0.8333253264427185,23,2,100,0.4000000059604645,1.2999999523162842,0.8999999761581421,568.8803100585938,32.4504280090332,52.497703552246094,66.06138610839844,2.1461985111236572,2.729726791381836,1.4701378345489502,1.545454502105713
Wood_Plane_Oblique_Full,108.5206298828125,88.79324340820313,123.12171936035156,79.45999908447266,111.95582580566406,72.93800354003906,37.72296142578125,0.7039999961853027,0.7422071099281311,0.7657296061515808,0.7458227872848511,0.7904800772666931,0.8154469132423401,0.8227388262748718,25,2,100,0.4000000059604645,1.2999999523162842,0.8999999761581421,621.5473022460938,32.369422912597656,52.72858810424805,66.06138610839844,2.3031117916107178,2.776427984237671,1.4424206018447876,1.545454502105713
Random1000_Plane_15_Full,77.87946319580078,84.29278564453125,96.80325317382813,58.36399841308594,77.16523742675781,47.117000579833984,55.94872283935547,0.6489999890327454,0.5094388723373413,0.5752031207084656,0.5727435946464539,0.5766350626945496,0.5785223841667175,0.5785223841667175,13,2,100,0.4000000059604645,1.2999999523162842,0.8999999761581421,99.62384033203125,6.171196937561035,51.42942810058594,85.61561584472656,0.23190192878246307,0.2731015384197235,1.099099040031433,1.0020020008087158
