Scene,Estimated PAH cost,Estimated SAH cost,PAH cost with fallback,PAH intersections with fallback,PAH hit percentage,PAH cost without fallback,SAH cost without fallback,PAH intersections without fallback,SAH cost,SAH intersections,Overlapping %,Overlapping % avg,Max level PAH,Max leaf cost,Max leaf area,Max leaf hit probability,Max triangles per leaf,Max non fallback levels,Split plane quality threshold,Max children/father hit probability,Choose split plane PAH average,Choose split plane SAH average,Compute cost PAH average,Compute cost SAH average,PAH error,SAH error,
CottageWallsPlaneFullParallelLongest,187.48,53.85,188.51,135.82,100%,188.51,188.51,135.82,112.86,68.04,82%,21,17,0,0,0,2,100,0.899999976,1.299999952,0.00025,0.00025,0.00034,0.00007,1%,110%,-109%
CottagePlaneFull45,114.25,61.50,122.82,72.87,87%,115.43,56.84,68.17,89.29,52.41,81%,15,26,0,0,0,2,100,0.400000006,1.299999952,0.00022,0.00025,0.00020,0.00007,1%,45%,-44%
CottagePlaneFullParallel,53.45,61.50,70.67,47.66,78%,52.64,80.88,35.84,85.58,52.68,68%,9,25,0,0,0,2,100,0.400000006,1.299999952,0.00019,0.00025,0.00032,0.00007,2%,39%,-38%
CrowdPlaneFull45Longest,92.95,58.94,91.17,51.56,100%,91.17,91.17,51.56,125.76,68.76,49%,1,24,0,0,0,2,100,0.899999976,1.299999952,0.00026,0.00027,0.00035,0.00007,2%,113%,-111%
CottagePlaneFull15Longest,195.81,61.50,207.99,153.35,88%,199.88,66.49,147.99,94.50,57.43,89%,18,24,0,0,0,2,100,0.899999976,1.299999952,0.00026,0.00026,0.00034,0.00007,2%,54%,-52%
CottagePlaneFull15,72.08,61.50,84.45,53.47,87%,74.57,74.84,46.80,94.61,57.68,80%,17,23,0,0,0,2,100,0.400000006,1.299999952,0.00022,0.00026,0.00035,0.00007,3%,54%,-50%
CrowdPlaneFullParallelLongest,88.15,58.94,83.19,47.71,100%,83.19,83.19,47.71,115.69,63.61,48%,15,26,0,0,0,2,100,0.899999976,1.299999952,0.00027,0.00026,0.00035,0.00007,6%,96%,-91%
CottageWallsPlaneFullParallel,65.28,53.85,59.42,39.91,100%,59.42,59.42,39.91,112.91,67.83,62%,10,24,0,0,0,2,100,0.400000006,1.299999952,0.00018,0.00025,0.00031,0.00007,9%,110%,-101%
Random100PlaneFullParallelLongest,17.49,18.67,35.43,19.08,15%,19.09,19.30,10.38,20.08,10.89,38%,6,10,0,0,0,2,100,0.899999976,1.299999952,0.00027,0.00028,0.00039,0.00007,9%,8%,2%
CottagePointFull15,49.55,61.50,63.98,40.24,63%,54.18,26.46,33.92,58.46,36.21,73%,12,21,0,0,0,2,100,0.400000006,1.299999952,0.00024,0.00025,0.00052,0.00007,9%,5%,4%
