Scene,Estimated PAH cost,Estimated SAH cost,Real cost with fallback,Intersections with fallback,Real cost without fallback,Intersections without fallback,Fallback BVH cost,Only fallback cost,Hit percentage,Overlapping % 4,Overlapping % culled 4,Overlapping % culled 7,Overlapping % culled 10,Overlapping % culled 15,Overlapping % culled 100,Max level,Max triangles per leaf,Max non fallback levels,Split plane quality threshold,Acceptable children/father hit probability,Excellent children/father hit probability,Compute cost PAH average,Compute cost PAH average count,Choose split plane PAH average,Choose split plane PAH average count
Random1000_Point_15_Standard,78.28746795654297,69.58846282958984,116.71587371826172,68.4729995727539,88.53797912597656,52.25600051879883,87.04798126220703,62.066070556640625,0.5460000038146973,0.4638005495071411,0.6940746307373047,0.6307393312454224,0.6087282299995422,0.6084977388381958,0.6084977388381958,12,2,100,0.9900000095367432,1.2999999523162842,0.8999999761581421,3.3253982067108154,43.241241455078125,0.3155005872249603,1.0920920372009277
Wood_Point_45_Standard,47.0082893371582,96.2122802734375,65.23999786376953,40.77199935913086,59.36658477783203,37.448001861572266,45.68922805786133,8.37966251373291,0.2919999957084656,0.9048922657966614,0.9013960361480713,0.8101322054862976,0.8064747452735901,0.840897262096405,0.8482176065444946,27,2,100,0.9900000095367432,1.2999999523162842,0.8999999761581421,25.687366485595703,50.35608673095703,3.13249135017395,1.7618203163146973
SuzannePoint15_Full,43.12901306152344,42.009483337402344,51.24002456665039,32.417999267578125,43.53083419799805,28.07900047302246,45.85283660888672,15.356973648071289,0.49799999594688416,0.44294023513793945,0.48786285519599915,0.5664688348770142,0.6152233481407166,0.6214874386787415,0.6214874386787415,16,2,100,0.4000000059604645,1.2999999523162842,0.8999999761581421,108.02655792236328,76.95724487304688,0.3910006582736969,2.525547504425049
Wood_Point_Oblique_Full,69.33633422851563,84.15608215332031,85.25230407714844,54.34400177001953,74.10137176513672,47.8849983215332,75.47073364257813,23.201644897460938,0.5130000114440918,0.6110410690307617,0.6316316723823547,0.7289739847183228,0.7689136266708374,0.7981688380241394,0.807686984539032,25,2,100,0.4000000059604645,1.2999999523162842,0.8999999761581421,695.2235107421875,67.64647674560547,2.7330033779144287,2.4913151264190674
SuzannePoint15_Standard,46.87098693847656,39.81754684448242,57.248348236083984,35.88199996948242,49.711570739746094,31.65999984741211,48.75277328491211,15.900426864624023,0.5260000228881836,0.46435046195983887,0.5131487846374512,0.5471132397651672,0.5881316065788269,0.597356379032135,0.597356379032135,15,2,100,0.9900000095367432,1.2999999523162842,0.8999999761581421,3.5771989822387695,49.57411193847656,0.3711000680923462,1.4812108278274536
Random1000_Point_15_Full,78.638671875,74.47874450683594,113.18069458007813,66.15799713134766,84.02838134765625,49.47200012207031,83.36638641357422,60.35689926147461,0.5170000195503235,0.4762353301048279,0.6462500095367432,0.6614292860031128,0.6284258961677551,0.629269003868103,0.629269003868103,13,2,100,0.4000000059604645,1.2999999523162842,0.8999999761581421,104.95092010498047,66.19819641113281,0.32870084047317505,1.9579579830169678
Wood_Point_45_Full,42.30426025390625,113.93866729736328,53.88683319091797,33.85100173950195,48.90376281738281,31.020999908447266,41.134422302246094,7.292755126953125,0.3100000023841858,0.8151280283927917,0.8179352283477783,0.8024818301200867,0.8239234685897827,0.8486960530281067,0.8520182371139526,25,2,100,0.4000000059604645,1.2999999523162842,0.8999999761581421,288.5680236816406,39.78784942626953,2.6603879928588867,1.7866424322128296
Wood_Point_Parallel_Full,73.62659454345703,87.24250030517578,93.58073425292969,59.64500045776367,81.57920837402344,52.58700180053711,83.80559539794922,28.23904800415039,0.574999988079071,0.682917594909668,0.6757308840751648,0.7048962116241455,0.7760259509086609,0.8085028529167175,0.8116199970245361,27,2,100,0.4000000059604645,1.2999999523162842,0.8999999761581421,572.4232788085938,59.50843048095703,2.8655169010162354,2.424265146255493
Random1000_Point_Parallel_Standard,79.7128677368164,69.58846282958984,113.486328125,66.5739974975586,86.5752182006836,51.073001861572266,84.8552017211914,61.58167266845703,0.5630000233650208,0.4259859323501587,0.7256185412406921,0.6459276676177979,0.6175607442855835,0.6172804236412048,0.6172804236412048,12,2,100,0.9900000095367432,1.2999999523162842,0.8999999761581421,3.3071975708007813,43.241241455078125,0.29440104961395264,1.0920920372009277
SuzannePoint45_Full,53.84752655029297,45.92562484741211,63.75276184082031,39.301998138427734,56.52635192871094,35.202999114990234,52.44755935668945,15.507296562194824,0.5339999794960022,0.5680034756660461,0.6125540137290955,0.6355788707733154,0.6553192138671875,0.653107762336731,0.653107762336731,16,2,100,0.4000000059604645,1.2999999523162842,0.8999999761581421,73.94664001464844,60.42575454711914,0.4070003032684326,1.8348909616470337
Random1000_Point_45_Full,79.55717468261719,78.4271240234375,119.27710723876953,69.81099700927734,90.18362426757813,53.145999908447266,88.52360534667969,56.056983947753906,0.48100000619888306,0.6144514083862305,0.6940370798110962,0.6323975324630737,0.6079354882240295,0.6077592968940735,0.6077592968940735,13,2,100,0.4000000059604645,1.2999999523162842,0.8999999761581421,84.93647003173828,54.980979919433594,0.32890066504478455,1.7067067623138428
CottageWalls_Point_Parallel_Full,148.02468872070313,81.56193542480469,154.53927612304688,91.40799713134766,146.7060089111328,86.3280029296875,96.3463134765625,60.72246551513672,0.8709999918937683,0.6811362504959106,0.8104215264320374,0.7977538108825684,0.7661730051040649,0.7721570730209351,0.7759138941764832,24,2,100,0.4000000059604645,1.2999999523162842,0.8999999761581421,618.766357421875,77.66504669189453,2.276008367538452,2.550206184387207
Wood_Point_15_Full,82.11357879638672,91.25733184814453,98.96913146972656,63.32099914550781,88.05319213867188,56.89099884033203,87.01235961914063,26.559606552124023,0.5889999866485596,0.6492255926132202,0.6996999979019165,0.7544428706169128,0.8089725375175476,0.8251605033874512,0.8312029838562012,24,2,100,0.4000000059604645,1.2999999523162842,0.8999999761581421,625.2472534179688,63.80644226074219,2.7881064414978027,2.449634075164795
Random100_Point_Oblique_Full,24.348102569580078,22.36767578125,45.608333587646484,24.760000228881836,25.289833068847656,13.651000022888184,25.082355499267578,24.006988525390625,0.14100000262260437,0.4902384877204895,0.5551824569702148,0.5222873091697693,0.521182656288147,0.521182656288147,0.521182656288147,10,2,100,0.4000000059604645,1.2999999523162842,0.8999999761581421,9.260798454284668,50.84848403930664,0.02989998459815979,1.3333333730697632
SuzannePointParallel_Full,47.95082473754883,42.89913558959961,56.678382873535156,36.1510009765625,48.8812141418457,31.72599983215332,49.92240524291992,19.739749908447266,0.6050000190734863,0.3862859010696411,0.4949876666069031,0.5744072198867798,0.6268128752708435,0.6256864070892334,0.6256864070892334,16,2,100,0.4000000059604645,1.2999999523162842,0.8999999761581421,109.8781967163086,79.16597747802734,0.3907003700733185,2.577800750732422
SuzannePointOblique_Full,46.8491096496582,40.849788665771484,57.1271858215332,35.887001037597656,49.60277557373047,31.624000549316406,48.593170166015625,14.481832504272461,0.47699999809265137,0.5377427935600281,0.566144585609436,0.5940049886703491,0.6335364580154419,0.636999249458313,0.636999249458313,15,2,100,0.4000000059604645,1.2999999523162842,0.8999999761581421,115.06340026855469,77.70984649658203,0.3915005028247833,2.5264248847961426
Cottage_Point_Parallel_Full,66.4773178100586,62.291282653808594,75.76280212402344,49.78499984741211,65.80081176757813,43.345001220703125,65.32962036132813,30.279632568359375,0.6710000038146973,0.7306479215621948,0.779730498790741,0.7360557317733765,0.7873381972312927,0.8270788192749023,0.827950656414032,22,2,100,0.4000000059604645,1.2999999523162842,0.8999999761581421,427.29119873046875,74.33484649658203,1.7137858867645264,2.6255674362182617
Cottage_Point_15_Full,68.8669204711914,73.8849105834961,81.77037048339844,52.52199935913086,71.30197143554688,45.69900131225586,63.0128173828125,28.759336471557617,0.6359999775886536,0.6991866230964661,0.7270848751068115,0.7543292045593262,0.7718058824539185,0.7956521511077881,0.7961835861206055,19,2,100,0.4000000059604645,1.2999999523162842,0.8999999761581421,401.3087463378906,70.5,1.703991174697876,2.5087764263153076
Cottage_Point_45_Full,114.34860229492188,89.14386749267578,123.33749389648438,75.70999908447266,117.28467559814453,71.89600372314453,93.68512725830078,36.46263122558594,0.8339999914169312,0.8023267388343811,0.8423023819923401,0.8281781077384949,0.8197811245918274,0.8405680656433105,0.8422434329986572,24,2,100,0.4000000059604645,1.2999999523162842,0.8999999761581421,351.7924499511719,64.77456665039063,1.7514880895614624,2.1246883869171143
